Restaurant_address,Restaurant_name,online_order,book_table,Rating,Votes,location,restaurant_type,dish_liked,cuisines,Cost_for_two_people,reviews_list,listed_in_type,listed_in_city
"154/9, Opposite Iim-B, Bannerghatta Road",Sultan's Biryani,No,No,3,12,Bannerghatta Road,Delivery,Not available,"Biryani, North Indian",700,Average Experience,Delivery,Jayanagar
"Behind Iim Bangalore, Sarvabouma Nagar, Bilekahalli, Bannerghatta Road, Bangalore",Halli Sogasu,No,No,3,15,Bannerghatta Road,Casual Dining,Not available,"South Indian, Andhra",600,Average Experience,Delivery,Jayanagar
"10, 4Th Cross, Jainmohani Nivas, Near Mg School, Someswar Layout, Pai Layout, Hulimavu, Bannerghatta Road, Bangalore",4671 Indian Coastal Cuisine,No,No,0,0,Bannerghatta Road,Food Court,Not available,"Seafood, Mangalorean, Kerala",600,Needs Improvement,Delivery,Jayanagar
"Shop 214, Block A, Sree Sai Supreme Apartment, Opposite Nandi Park, Bannerghatta Road, Bangalore",Bake Feast,No,No,0,0,Bannerghatta Road,Bakery,Not available,Bakery,300,Needs Improvement,Delivery,Jayanagar
"Food Parade, Spar Hypermarket, Bannerghatta Road, Bangalore",Crepe Nation,Yes,No,3.8,12,South Bangalore,Food Truck,Not available,"Fast Food, Desserts",300,Good Food and Service,Delivery,Jayanagar
"Near Meenakshi Mall, Bannerghatta Road, Bangalore",RICE BAR,No,No,3.1,7,Bannerghatta Road,Delivery,Not available,"North Indian, Biryani",500,Average Experience,Delivery,BTM
"102, Ground Floor, Lakshmi Layout 3Rd Cross, Bannerghatta Road, Bangalore",Kanika Biryani Paradise,No,No,3.4,15,Bannerghatta Road,Casual Dining,Not available,"North Indian, Andhra, Biryani",700,Average Experience,Delivery,BTM
"286, Near Shoppers Stop, Ns Palya, 2Nd Stage, Btm Layout, Bannerghatta Road, Bangalore",Resto,No,No,3.7,40,Bannerghatta Road,Quick Bites,Not available,"Chinese, North Indian, Fast Food, Momos",350,Good Food and Service,Delivery,Wilson Garden
"Mantri Elegance, Btm 2Nd Stage, Ns Palya, Bannerghatta Road, Bangalore",New Tandoori Point,No,No,3.3,9,Bannerghatta Road,Quick Bites,Not available,"North Indian, Chinese",600,Average Experience,Delivery,Banashankari
"441/ A, Bilekahalli, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Shiv Sagar,No,No,2.9,85,Bannerghatta Road,Quick Bites,"Masala Dosa, Chole Bhature, Coffee","South Indian, Street Food",250,Average Experience,Delivery,Wilson Garden
"1, Opposite Snn Raj Serenity, Koppa Main Road, Yelanahalli, Begur, Bannerghatta Road, Bangalore",Little Shangai,No,No,3.3,4,Bannerghatta Road,Food Court,Not available,"Chinese, North Indian, Fast Food",400,Average Experience,Delivery,Jayanagar
"141St Main, 9Th Cross, S G Palya-Tavarekare Main Road, Bannerghatta Road, Bangalore",Nadella's Kitchen,No,No,3.3,4,Bannerghatta Road,Quick Bites,Not available,"North Indian, Biryani",300,Average Experience,Delivery,Jayanagar
"3, Industrial Area, Near Shoppers Stop, Bannerghatta Road, Bangalore",Uncle's Kitchen,No,No,2.8,12,Bannerghatta Road,Quick Bites,Not available,"North Indian, Chinese, Fast Food",450,Average Experience,Delivery,Jayanagar
"Rangaiah Building, Begur, Koppa Road, Yelenahalli, Bannerghatta Road, Bangalore",Maruthi Bar & Restaurant,No,No,0,0,Bannerghatta Road,Casual Dining,Not available,"Chinese, Seafood",800,Needs Improvement,Delivery,Basavanagudi
"6, Abbiah Layout, Kc Halli Main Road, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Coastal Inn,No,No,3.4,66,Bannerghatta Road,Casual Dining,"Biryani, Sea Food, Fish Thali","Chinese, North Indian, Seafood",800,Average Experience,Delivery,Basavanagudi
"Behind Vijaya Sree Hospital, Gottigere, Bannerghatta Road, Bangalore",Mom's Momos,No,No,3.3,6,Bannerghatta Road,Quick Bites,Not available,Chinese,300,Average Experience,Delivery,Sarjapur Road
"Kodichikkanahalli Main Road, Bannerghatta Road, Bangalore",Aishwarya Parkland,No,No,2.9,59,Bannerghatta Road,Casual Dining,Not available,"Chinese, North Indian",500,Average Experience,Delivery,Bellandur
"232, Doddakammanahalli Main Road, Gottigere, Bannerghatta Road, Bangalore",Slice of Spice,No,No,3.1,4,Bannerghatta Road,Quick Bites,Not available,"North Indian, Chinese",400,Average Experience,Delivery,Marathahalli
"Begur Koppa Main Road, Bannerghatta Road, Bangalore",Bao and Rolls,No,No,3.6,19,Bannerghatta Road,Quick Bites,Not available,"Rolls, Kebab, Fast Food",250,Good Food and Service,Delivery,Sarjapur Road
"59/1, Opposite Snn Raj Serenity, Begur- Koppa Road, Yelanahalli, Near Bannerghatta Road, Bangalore",Andhra Bhojanam,No,No,3.6,21,Bannerghatta Road,Casual Dining,Not available,"North Indian, South Indian, Andhra",600,Good Food and Service,Delivery,Sarjapur Road
"Manpho Pavilion, Ranka Colony Road, Bilekahalli, Bannerghatta Road",Kedia's Fun Food,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"North Indian, Street Food, Juices",200,Needs Improvement,Delivery,Bellandur
"Behind T Jhon Collage, Nice Road, Gottigere, Bannerghatta Main Road, Bannerghatta Road, Bangalore, Bengaluru",Iyengar's Cakes and Cookies,No,No,0,0,Bannerghatta Road,Bakery,Not available,Bakery,200,Needs Improvement,Delivery,Sarjapur Road
"Number 9, Bannerghatta Main Road, H Block, Nobo Nagar, Kalena Agrahara, Bengaluru",Kanchan Dhaba,No,No,3.2,4,Bannerghatta Road,Quick Bites,Not available,"North Indian, Chinese",350,Average Experience,Delivery,Marathahalli
"173, Rr Complex, Devarachikanahlli Road, Bannerghatta Road, Bangalore",Encyclofoodia,No,No,3.9,26,Bannerghatta Road,Quick Bites,Not available,"Kerala, North Indian",350,Good Food and Service,Delivery,Bellandur
"6, 2Nd Main Road, Venugopal Reddy Layout, Arekere, Bannerghatta Road, Bangalore",Bella?s Kitchen,No,No,2.9,31,Bannerghatta Road,Casual Dining,Not available,"Chinese, Seafood, North Indian",600,Average Experience,Delivery,HSR
"1St Main Rd, Mla Layout, Himagiri Meadows, Gottigere, Bannerghatta Road, Bangalore",Food Feast Multicusine Restaurant,No,No,3.3,16,Bannerghatta Road,Quick Bites,Not available,"North Indian, Chinese, Hyderabadi",600,Average Experience,Delivery,Sarjapur Road
"Behind Shanthinikethan School, Bilekahalli, Bannerghatta Road, Bangalore",Bangalir Rannaghar,No,No,2.9,58,Bannerghatta Road,Quick Bites,Noodles,"Bengali, North Indian, Chinese",250,Average Experience,Delivery,Bellandur
"217, Rose Garden Rd, Anthappa Layout, Phase 4, Panduranga Nagar, Bannerghatta Road, Bangalore",Sai Samosa & Chat Corner,No,No,3.3,9,Bannerghatta Road,"Takeaway, Delivery",Not available,"Fast Food, Street Food",200,Average Experience,Delivery,Sarjapur Road
"Shop 16/30, 1St Cross, Old Guruppanpalya, Btm 1St Stage, B.G Road, Bangalore, Bannerghatta Road, Bangalore",Lalchee's Rasoi,No,No,3.6,162,Bannerghatta Road,Casual Dining,"Rolls, Chicken Curry, Hara Bhara Kebab, Egg Masala, Egg Curry, Naan, Roti","North Indian, Chinese",500,Good Food and Service,Delivery,HSR
"Arekere Gate, Sundar Ram Shetty Nagar, Bannerghatta Road, Bangalore",Kailash Parbat,No,No,2.7,67,Bannerghatta Road,Food Court,"Chole, Chaat, Gulab Jamun, Dahipuri, Sev Puri, Bhel Puri, Pakoda","North Indian, Street Food",300,Average Experience,Delivery,Marathahalli
"172/1, 3Rd Floor, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Just Bake,No,No,0,0,Bannerghatta Road,Bakery,Not available,"Bakery, Desserts",400,Needs Improvement,Delivery,Sarjapur Road
"2Nd Cross, Munivenkatppa Layout, Bilekahalli, Bannerghatta Road, Bangalore",Goli Vada Pav No 1,No,No,0,0,Bannerghatta Road,Other,Not available,"Street Food, Burger",150,Needs Improvement,Delivery,Sarjapur Road
"15, 24Th Main Road, Ayodya Nagar, 5Th Phase Jp Nagar",Kitchen King,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"South Indian, North Indian, Chinese",250,Needs Improvement,Delivery,Marathahalli
"F-Main, Shantiniketan Layout, Hulimavu, Bannerghatta Road, Bangalore",Gowdru Hatti Nati Style,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"South Indian, Chinese, Biryani",350,Needs Improvement,Delivery,HSR
"16/19, Ked 1St Cross, Opposite Bilal Majid, Gurupalpalya, Bannerghatta Road, Bangalore",Dream's Kitchen,No,No,3.1,7,Bannerghatta Road,Casual Dining,Not available,"North Indian, Andhra, Chinese",700,Average Experience,Delivery,Bellandur
"Ground Floor, Commercemantri, N S Palya, Bannerghatta Road, Bangalore",MOYASS,No,No,0,0,Bannerghatta Road,Casual Dining,Not available,"South Indian, Kerala",600,Needs Improvement,Delivery,Sarjapur Road
"58, Coconut Garden, 2Nd Main, Behind Ravindra Bharti School, Arekere, Bannerghatta Road, Bangalore",Tandoor Hut,No,No,2.2,90,Bannerghatta Road,Casual Dining,"Noodles, Tandoori Chicken","North Indian, Chinese",750,Needs Improvement,Delivery,Marathahalli
"805 A, 3Rd Floor, 7Th Cross, 2Nd Stage, Btm Layout, Btm, Bangalore",The Chocolatiers,No,No,3.5,14,Bannerghatta Road,Dessert Parlor,Not available,Desserts,150,Good Food and Service,Delivery,Bellandur
"1&2 Pai Layout, Hulimavu, Bannerghatta Main Road, Next To Christ University, Bannerghatta Road, Bangalore",Ballava,No,No,3.3,5,Bannerghatta Road,Quick Bites,Not available,"North Indian, South Indian",400,Average Experience,Delivery,Sarjapur Road
"B2-307, Snn Raj Serenity, Begur Road, Begur Bannerghatta Road, Bangalore",Zaika Take Away,No,No,2.4,96,Bannerghatta Road,Casual Dining,"Butter Naan, Kadhai Mushroom","North Indian, Chinese, Thai",500,Needs Improvement,Delivery,HSR
"Near Hulimavu Police Station, Gottigere, Bannerghatta Road, Bangalore",Sapid,No,No,0,0,Bannerghatta Road,Delivery,Not available,North Indian,250,Needs Improvement,Delivery,Sarjapur Road
"Opposite Bgs School, Hulimauv, Bannerghatta Road, Bangalore",Sapid.in,No,No,0,0,Bannerghatta Road,Delivery,Not available,North Indian,350,Needs Improvement,Delivery,Bellandur
"1065, 13Th Cross, 6Th Main, Kodichikanahalli, Vijay Bank Colony, Bannerghatta Road, Bangalore",Hotel Muthu,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,South Indian,200,Needs Improvement,Delivery,Bellandur
"205, Sundar Ram Shetty Nagar, Bilekahalli, Bannerghatta Road, Bangalore",Orlando's Pizzeria,No,No,0,0,Bannerghatta Road,Casual Dining,Not available,"Pizza, Italian, Desserts",800,Needs Improvement,Delivery,Bellandur
"2, 4Th Floor, 24Th Main, 1St Phase, Jp Nagar, Bengaluru",Snackiey,No,No,3.5,11,Bannerghatta Road,Quick Bites,Not available,North Indian,250,Good Food and Service,Delivery,Koramangala 1st Block
"183, Bilahalli, Bannerghatta Road, Bangalore",Hotel Shyam Mangalam & Catering Service,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"South Indian, North Indian, Oriya",400,Needs Improvement,Delivery,Sarjapur Road
"16, Survey Number 13, Omkar Nagar, Arekere, Bannerghatta Road, Bangalore",Sheer Kurma,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,Desserts,300,Needs Improvement,Delivery,Bellandur
"949, 2Nd Floor, 24Th Main, 2Nd Phase, Jp Nagar, Bangalore",Thalassery Food Court,No,No,0,0,Bannerghatta Road,Casual Dining,Not available,"Chinese, Kerala",500,Needs Improvement,Delivery,Sarjapur Road
"26, 16Th Cross, 5Th Phase, 100Ft Ring Road, Opposie Canara Bank, Jp Nagar, Bangalore",House Of Candy,No,No,0,0,Bannerghatta Road,Confectionery,Not available,Desserts,200,Needs Improvement,Delivery,Sarjapur Road
"1092, Murudewar Building,4Th Floor,Opposite Mega Mart,9Th Block, Jayanagar, Bangalore",Oye Bubly,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,Fast Food,200,Needs Improvement,Delivery,Richmond Road
"G-2, Ground Floor, Next To Ample Mart, Begur Hulimavu Road, Akshay Nagar, Bannerghatta Road",Doddamma Devi Juice & Chats Centre,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"Chinese, Street Food, Juices",200,Needs Improvement,Delivery,Lavelle Road
"204, Opposite Hsbc Bank, 11Th Km Stone, Bilekahalli, Bg Road, Bannerghatta Road, Bangalore",Kabab Corner,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"Arabian, Chinese, Kerala",400,Needs Improvement,Delivery,MG Road
"24Th Main, 70/2, Narasaraju Compound, 1St Cross, Puttenahalli Main Road, 7Th Phase, Jp Nagar, Bangalore",Sandwich Mamas,No,No,3.2,4,Bannerghatta Road,Quick Bites,Not available,Fast Food,300,Average Experience,Delivery,Church Street
"Food Court, Central Shopping Mall, 45Th Cross, 2Nd Phase, Jp Nagar, Bangalore",The Shake Factory Originals,No,No,3.3,8,Bannerghatta Road,"Beverage Shop, Quick Bites",Not available,"Beverages, Fast Food",200,Average Experience,Delivery,Church Street
"5Th Phase, Jp Nagar, Bangalore, Bengaluru",Foodiction,No,No,2.9,54,Bannerghatta Road,Quick Bites,Not available,"North Indian, Fast Food, Chinese, Burger",500,Average Experience,Delivery,Church Street
"9, Floor 1, Sbi Bank Building, Westend Avenue, Near Dlf Town, Opposite Ample Mart, Bannerghatta Road, Bangalore",Hotel Lakshmi Paradise,No,No,3.3,7,Bannerghatta Road,Quick Bites,Not available,"North Indian, Mughlai",400,Average Experience,Delivery,Lavelle Road
"1065 B, 5Th Cross, Vijaya Bank Layout, Bilekahalli, Bannerghatta Road, Bangalore",Kamat,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"South Indian, Fast Food",300,Needs Improvement,Delivery,St. Marks Road
"Number 12, Third Floor, 4Th Main, Bank Of Baroda Colony, 7Th Phase, Jp Nagar, Bangalore",Jugz Cafe,No,No,0,0,Bannerghatta Road,Delivery,Not available,South Indian,250,Needs Improvement,Delivery,Richmond Road
"18, 1St Cross, Jambusavari Dinne, Jp Nagar, Bangalore",Taste Of Home,No,No,0,0,Bannerghatta Road,"Takeaway, Delivery",Not available,"South Indian, North Indian, Chinese",300,Needs Improvement,Delivery,Church Street
"Jp Nagar, Bengaluru",The Punjabi Tadka,No,No,0,0,Bannerghatta Road,Delivery,Not available,North Indian,200,Needs Improvement,Delivery,MG Road
"Number 6/A, Chunchgatta, Jp Nagar 7Th Phase",Desi Bites,No,No,3.3,4,Bannerghatta Road,Food Court,Not available,Street Food,200,Average Experience,Delivery,Brigade Road
"Bannerghatta Road, Devara Chikkanahalli, Addischetan Layout, Bommanahalli, Bangalore",Shiv Sai,No,No,3.2,4,Bannerghatta Road,Quick Bites,Not available,North Indian,400,Average Experience,Delivery,Church Street
"6, Abbiah Layout Kc Halli Main Road, Bommanahalli, Bangalore",Dastarkhan,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,Mughlai,400,Needs Improvement,Delivery,St. Marks Road
"135/14, 100 Feet Road, Near Dalmia Circle, Jp Nagar, Bangalore",Sri Banashankari Biryani Kabab Centre,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"Biryani, Fast Food",100,Needs Improvement,Delivery,MG Road
"63, 7Th Cross , 24Th Main, 2Nd Phase, Jp Nagar, Bangalore",The Sandesh Factory,No,No,0,0,Bannerghatta Road,Sweet Shop,Not available,"Mithai, Desserts",150,Needs Improvement,Delivery,Church Street
"No 173, Munivenkatappa Layout, Bilekahalli, Opp Ranka Colony, Bannerghatta Road",Adi's Cake N Cafe,No,No,0,0,Bannerghatta Road,Bakery,Not available,Bakery,400,Needs Improvement,Delivery,Church Street
"19, Jalaram Estate, Arekere, Opposite Food World, Bannerghatta Road, Bangalore",D Fusion,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"Fast Food, Chinese",400,Needs Improvement,Delivery,Lavelle Road
"B-5, Hermain Complex, 16Th Main, 2Nd Stage",The Right Moo Organic Icecreams,No,No,0,0,Bannerghatta Road,Dessert Parlor,Not available,Desserts,300,Needs Improvement,Delivery,Church Street
"Gopalan Mall, Ground Floor, Kiosk 1, 6, Old Madras Road, Nagavarapalya, Cv Raman Nagar, Bangalore",Swad Family Restaurant,No,No,0,0,Bannerghatta Road,Casual Dining,Not available,"North Indian, Chinese",650,Needs Improvement,Delivery,Church Street
"32, Shop 1, Rama Krishna Layout, Gottigere, Bannerghatta Road, Bangalore",Bread & Better,No,No,0,0,Bannerghatta Road,Bakery,Not available,"Bakery, Fast Food",50,Needs Improvement,Delivery,Ulsoor
"Opposite Reliance Mart, Bannerghatta Road, Bangalore",Papa Khan Biryani,No,No,0,0,Bannerghatta Road,"Takeaway, Delivery",Not available,"Biryani, Mughlai",300,Needs Improvement,Delivery,Cunningham Road
"427, Ground Floor, 7Th Main, 7Th Cross, Btm Layout, Bangalore",Vah Biryani,No,No,0,0,Bannerghatta Road,Delivery,Not available,"Biryani, Chinese",300,Needs Improvement,Delivery,Indiranagar
"139, 24Th Main, 2Nd Cross, 2Nd Phase, Jp Nagar, Bangalore",9 Tea,No,No,0,0,Bannerghatta Road,"Takeaway, Delivery",Not available,"South Indian, Street Food, Tea",200,Needs Improvement,Delivery,Frazer Town
"766/A, 16Th Main, Btm, Bangalore",Gobble Up,No,No,0,0,Bannerghatta Road,"Takeaway, Delivery",Not available,"Chinese, Street Food",200,Needs Improvement,Delivery,Lavelle Road
"70/71, Seetharam Complex, Bilekahalli, Bannerghatta Main Road, Bannerghatta Road, Bangalore",Sri Annalakshmi,No,No,0,0,Bannerghatta Road,"Takeaway, Delivery",Not available,"South Indian, North Indian",200,Needs Improvement,Delivery,Lavelle Road
"47/1, 9Th Main, 1St Cross, 3Rd Phase, Jp Nagar, Bangalore",Magadh Jalpan,No,No,0,0,Bannerghatta Road,"Takeaway, Delivery",Not available,Street Food,200,Needs Improvement,Delivery,Indiranagar
"Behind Ayyappa Swamy Temple, 4Th Main Link Road, Coconut Garden St, Madiwala, 1St Stage, Btm Layout 1, Bengaluru, Karnataka 560068",Annam Ilaiyil,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,South Indian,450,Needs Improvement,Delivery,Church Street
"953, 7Th Cross, 16Th Main, 2Nd Stage, Btm, Bangalore",Kopper Pot,No,No,0,0,Bannerghatta Road,Bakery,Not available,Bakery,500,Needs Improvement,Delivery,Brigade Road
"75/A, 24Th Main, 6Th Phase Jp Nagar, Bangalore, Bengaluru",Chillax Point,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"North Indian, Chinese",300,Needs Improvement,Delivery,Frazer Town
"Chamundeshwari Layout, Arekere, Near Mariyamma Temple, Bannerghatta Road, Bangalore",Little Sweetooth,No,No,0,0,Bannerghatta Road,Delivery,Not available,Bakery,300,Needs Improvement,Delivery,Cunningham Road
"309, 15Th Cross, 100 Feet Road, 5Th Phase, Jp Nagar, Bangalore",Tandoor Plaza,No,No,0,0,Bannerghatta Road,Casual Dining,Not available,North Indian,500,Needs Improvement,Delivery,Indiranagar
"Sarakki Signal, Kanakapura Road, 6Th Phase, Jp Nagar, Bangalore",Chef Snow,No,No,0,0,Bannerghatta Road,Delivery,Not available,"North Indian, Chinese",300,Needs Improvement,Delivery,Frazer Town
"No 121/1, Abhinandana Complex, Manipal Country Road, Singasandra, Electronic City, Bangalore",Northway Cuisine,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"North Indian, Chinese",350,Needs Improvement,Delivery,Frazer Town
"63, 1551, 7Th Cross Road, Rk Colony, 1St Phase, Near Post Office, Jp Nagar, Bangalore",Udupi Biriyani Point,No,No,0,0,Bannerghatta Road,"Takeaway, Delivery",Not available,"North Indian, South Indian",190,Needs Improvement,Delivery,Lavelle Road
"17, Shop 2, Opposite Rbi Layout, 7Th Phase, Jp Nagar, Bangalore",Fresh Code,No,No,0,0,Bannerghatta Road,"Takeaway, Delivery",Not available,"Chinese, North Indian",300,Needs Improvement,Delivery,Cunningham Road
"7Th Main Road, 2Nd Stage, Btm, Bangalore",A-1 Chicken Biriyani & Kababs,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,Mughlai,200,Needs Improvement,Delivery,Church Street
"255/6, 7Th Main Road, North South Palya, Pushpa Layout, Btm, Bangalore",The Ocean Kitchen,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"North Indian, Chinese, Seafood, South Indian",200,Needs Improvement,Delivery,Indiranagar
"18/2, Opposite To Reliance Mart, Arakere Gate, Bannerghatta Road, Bangalore",Smooth,No,No,0,0,Bannerghatta Road,Food Court,Not available,"Desserts, Ice Cream",200,Needs Improvement,Delivery,St. Marks Road
"1, Devarachikkanahalli Main Road, Ramesh Reddy Layout, Maruthi Layout, Hongasandra, Bommanahalli, Bangalore",Om Nom Thai,No,No,0,0,South Bangalore,Food Truck,Not available,"Thai, Momos",400,Needs Improvement,Delivery,Brigade Road
"44, 1St Floor, 100 Feet Ring Road, Above Vijaya Bank Atm, Vysya Bank Colony, 2Nd Stage, Btm, Bangalore",The Juicy,Yes,No,3.5,13,JP Nagar,Beverage Shop,Not available,"Beverages, Juices",100,Good Food and Service,Delivery,Lavelle Road
"77/2, Ground Floor, Bda Road, Opposite Rr Layout, Arekere, Bannerghatta Road, Bangalore",Feast and Burp,No,No,3.3,4,Bannerghatta Road,Quick Bites,Not available,North Indian,300,Average Experience,Delivery,Indiranagar
"55, Goenka Chambers, Jeevan Griha Colony, 19Th Main, Phase 2, Jp Nagar, Bangalore",Mr Shawarma,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,Fast Food,200,Needs Improvement,Delivery,Brigade Road
"House 86, Ground Floor 3Rd Cross 1St Main N.S. Palya, Behind Shoppers Stop, Btm Layout, Btm 2Nd Stage Bangalore",Chocolate Junction,No,No,0,0,Bannerghatta Road,Dessert Parlor,Not available,Desserts,200,Needs Improvement,Delivery,Frazer Town
"67, Ground Floor, 3Rd E Main Road, 15Th Cross Road, 3Rd Phase, Jp Nagar, Bangalore",Pohawala,No,No,0,0,Bannerghatta Road,"Takeaway, Delivery",Not available,Fast Food,100,Needs Improvement,Delivery,Lavelle Road
"9/10 1St Floor, 24Th Main Road, Shoba Tulip Appartment, Phase 5, Jp Nagar, Bangalore",Zengi Pub & Restaurant,Yes,No,3.7,30,BTM,"Pub, Casual Dining",Not available,"Finger Food, Continental, Chinese",900,Good Food and Service,Delivery,MG Road
"726/A, 24Th Main Road, 6Th Phase, Jp Nagar, Bangalore",Cafe Indiana,No,No,3.5,17,Bannerghatta Road,"Quick Bites, Dessert Parlor",Not available,"Fast Food, Desserts",600,Good Food and Service,Delivery,Indiranagar
"8, 19Th Cross, 7Th Main, Btm Layout, 2Nd Stage, Btm, Bangalore",Stajasia Ahara,No,No,0,0,Bannerghatta Road,"Takeaway, Delivery",Not available,Mexican,100,Needs Improvement,Delivery,Old Madras Road
"312, 2Nd Floor, 15Th Cross, 100 Feet Road, 5Th Phase, Jp Nagar, Bangalore",Zainee Home food,No,No,0,0,Bannerghatta Road,Delivery,Not available,North Indian,300,Needs Improvement,Delivery,St. Marks Road
"14-15, 24Th Main Road, Opposite Idbi Bank, Phase 5, Jp Nagar, Bangalore",Pumpkin Food Workshop,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,"Chinese, North Indian, South Indian",350,Needs Improvement,Delivery,St. Marks Road
"41, Near Royal School, 24Th Main, Jp Nagar, Bangalore",Ammi's Biryani,No,No,2.4,392,Bannerghatta Road,Other,"Chicken Biryani, Hyderabadi Biryani, Rolls, Mutton Biryani, Raita, Kheer, Vegetable Biryani","Biryani, North Indian",500,Needs Improvement,Delivery,Lavelle Road
"1, 5Th Cross Oppsite Ever Fine Super Market, Rbi Layout, Jp Nagar, Bangalore",Multi Cakes,No,No,3,9,Bannerghatta Road,Bakery,Not available,"Bakery, Desserts",200,Average Experience,Delivery,Church Street
"298, 24Th Main, 6Th Phase, Opposite Idbi Bank, Jp Nagar, Bangalore",Bhukkad,No,No,3.1,7,Bannerghatta Road,Quick Bites,Not available,"Healthy Food, Fast Food",250,Average Experience,Delivery,Indiranagar
"17, Opposite To Royal High School, 24Th Main, Brigade Millennium Road, Jp Nagar, Bangalore",WOW Laddus,Yes,No,0,0,JP Nagar,Delivery,Not available,Mithai,800,Needs Improvement,Delivery,Richmond Road
"952, 1St Floor, 24Th Main, 2Nd Phase, Jp Nagar, Bangalore",Ambur Hotel,No,No,0,0,Bannerghatta Road,Quick Bites,Not available,South Indian,250,Needs Improvement,Delivery,Koramangala 6th Block
"212, 12Th Cross, 14Th Main Road, Opposite To Vet College, 2Nd Phase, Jp Nagar, Bangalore",Malhar Maharashtrian Cuisine,Yes,No,4,101,Bannerghatta Road,Casual Dining,"Brinjal Curry, Misal Pav, Chicken Thali, Chicken Kolhapuri, Sabudana Vada, Veg Thali",Maharashtrian,500,Very Good Service,Delivery,Residency Road
"323, 24Th Main, 5Th Phase, Puttenahalli Main Road, Jp Nagar, Bangalore",Mandi,Yes,Yes,3.8,560,JP Nagar,Casual Dining,"Phirni, Chaat, Noodles, Rasgulla, Rabri, Butter Naan, Jalebi",North Indian,800,Good Food and Service,Delivery,Lavelle Road
"303, Usr, 1St Main Road, 7Th Phase, Lakshmi Nagar, Jp Nagar, Bangalore",Pallavi North Indian Veg Restaurant,Yes,No,3.7,243,JP Nagar,Casual Dining,"Butter Paneer, Butter Naan, Panneer Butter Masala, Tandoori Roti","Biryani, North Indian, Chinese",450,Good Food and Service,Delivery,Shanti Nagar
"48/58, Shivani Building, Beside Indian Oil Petrol Pump, Puttenahalli Road, 7Th Phase, Jp Nagar, Bangalore",Restro Cafe,Yes,No,3.8,30,Jayanagar,Cafe,Not available,Cafe,400,Good Food and Service,Delivery,Residency Road
"Jeewan Griha Colony, 2Nd Phase, Jp Nagar, Bangalore",Idly Pidly,Yes,No,3.2,148,Bannerghatta Road,Quick Bites,Tea,South Indian,250,Average Experience,Delivery,Residency Road
"41/A, Raviranga Nilayam, 2Nd Main, 3Rd Cross, Vasantha Vellapa Nagar, 7Th Phase, Jp Nagar, Bengaluru",Vasudev Adiga's,No,No,2.3,291,Bannerghatta Road,Casual Dining,"Coffee, Masala Dosa, Curd Rice, Idli Vada","South Indian, North Indian, Chinese, Street Food, Juices",250,Needs Improvement,Delivery,St. Marks Road
"Near Sbi Bank, Mahaveer Ridge, Koppa - Begur Road, Jp Nagar, Bangalore",The Biryani House,Yes,No,0,0,JP Nagar,Quick Bites,Not available,Andhra,400,Needs Improvement,Delivery,Shivajinagar
"161, Devarachikkanahalli Main Road, Sr Naidu Layout, Seenappa Layout, Hongasandra, Bommanahalli, Bangalore",TGI Fridays,Yes,Yes,3.9,1337,Bannerghatta Road,Lounge,"Cocktails, Salads, Burgers, Long Island Iced Tea, Tacos, Nachos, Steak","American, Burger, Italian, Steak",1700,Good Food and Service,Delivery,Brigade Road
"28, 7Th Main Road, 2Nd Stage, Btm, Bangalore",Just Bake,Yes,No,2.6,22,Bannerghatta Road,"Bakery, Quick Bites",Not available,"Bakery, Desserts",400,Average Experience,Delivery,Church Street
"5, Ssar Towers, Opposite Royal School, 24Th Main Road, 5Th Phase, Jp Nagar, Bangalore",Earth Plate Express,Yes,No,3.9,33,JP Nagar,Food Court,Not available,"Italian, Continental",600,Good Food and Service,Delivery,Brigade Road
"20, 6Th Cross, 4Th A Main, N.S Palya, Dollors Colony, Btm 2Nd Stage, Bangalore, Btm, Bangalore",Gharelu Zaika,Yes,No,3.7,22,JP Nagar,Delivery,Not available,North Indian,250,Good Food and Service,Delivery,Residency Road
